训练轮次,平均奖励,电压越限次数,PSH约束违反,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
58,7.798,18,0,139,171,171,191,0.349,0.454,0.9466,1.0466,0.275312,-0.000585,0.579192,
59,8.4457,18,0,95,180,189,208,0.288,0.507,0.9472,1.0466,0.318948,-0.003763,0.672808,
60,9.3684,19,0,106,174,207,185,0.14,0.628,0.946,1.0463,0.351347,0.001213,0.72764,9.9973
61,8.0629,38,0,116,178,180,198,0.356,0.26,0.9463,1.0466,0.281996,-0.002727,0.59684,
62,8.1717,30,0,120,162,186,204,0.32,0.362,0.946,1.0466,0.282805,-0.005015,0.603008,
63,8.1217,32,0,120,187,191,174,0.306,0.351,0.9462,1.0465,0.295761,-0.000825,0.620545,
64,9.5275,46,0,113,199,183,177,0.06,0.452,0.9468,1.0473,0.354847,-0.002862,0.742826,
65,8.16,20,0,116,188,170,198,0.317,0.463,0.9457,1.0464,0.283547,-0.003083,0.600622,
66,8.4086,23,0,97,177,183,215,0.342,0.411,0.9463,1.0464,0.313469,0.001025,0.652252,
67,8.0468,26,0,119,189,193,171,0.258,0.455,0.9465,1.0466,0.308584,-0.006916,0.658362,
68,8.1764,33,0,114,193,190,175,0.333,0.323,0.946,1.0466,0.346813,-0.002396,0.725755,
69,8.1083,44,0,108,187,185,192,0.314,0.244,0.9455,1.0465,0.324856,0.001748,0.673538,
70,8.2088,30,0,111,191,190,180,0.37,0.318,0.9463,1.0466,0.329134,-0.004537,0.694608,9.9955
71,8.8977,36,0,101,204,180,187,0.495,0.153,0.9453,1.0465,0.39374,-0.00588,0.82649,
72,8.3109,25,0,99,183,181,209,0.422,0.321,0.9455,1.0466,0.353514,-0.005103,0.744452,
73,8.1607,25,0,112,206,163,191,0.206,0.513,0.9465,1.0465,0.372004,-0.000564,0.77234,
74,9.5369,29,0,103,194,207,168,0.128,0.543,0.9462,1.0466,0.42487,0.000132,0.876668,
75,8.3604,32,0,93,208,193,178,0.342,0.326,0.9456,1.0464,0.382104,0.0043,0.782786,
76,8.314,18,0,104,182,188,198,0.347,0.455,0.9467,1.0466,0.358324,0.000263,0.743268,
77,8.3048,46,0,102,182,207,181,0.23,0.296,0.9457,1.0465,0.354399,-0.001157,0.738374,
78,8.2304,39,0,111,198,199,164,0.361,0.245,0.9457,1.0466,0.441632,0.002621,0.905158,
79,8.4087,17,0,100,201,196,175,0.37,0.443,0.9467,1.0464,0.410072,0.004597,0.837976,
80,9.6843,28,0,96,198,202,176,0.047,0.626,0.9465,1.0468,0.384229,-0.006382,0.808238,9.9941
81,8.6135,33,0,91,195,199,187,0.467,0.207,0.9462,1.0466,0.389613,0.0011,0.804031,
82,8.4364,18,0,95,199,186,192,0.388,0.421,0.946,1.0464,0.420176,0.00366,0.859979,
83,8.7886,34,0,90,197,190,195,0.174,0.455,0.9467,1.0466,0.429832,0.000757,0.885146,
84,9.6558,35,0,94,198,178,202,0.599,0.072,0.9465,1.0469,0.403399,0.000953,0.831866,
85,8.4395,23,0,99,184,185,204,0.343,0.413,0.9467,1.0466,0.400191,-0.002115,0.831537,
86,9.5617,44,0,87,209,192,184,0.134,0.397,0.946,1.0466,0.370928,0.005311,0.758219,
87,8.3417,34,0,103,185,195,189,0.24,0.397,0.9466,1.0465,0.385873,-0.000912,0.80053,
88,8.4076,35,0,94,192,196,190,0.387,0.258,0.9465,1.047,0.427966,0.007635,0.867618,
89,9.0389,32,0,119,213,145,195,0.157,0.488,0.9466,1.0467,0.338815,-0.003631,0.71187,
90,8.6462,24,0,81,209,182,200,0.278,0.46,0.9466,1.0466,0.453134,0.001293,0.930636,9.9942
91,9.4813,33,0,85,194,191,202,0.146,0.487,0.9465,1.0464,0.450427,0.003952,0.919935,
92,8.5265,25,0,93,200,181,198,0.548,0.212,0.9464,1.0463,0.39916,-0.000832,0.826891,
93,8.5982,13,0,86,190,203,193,0.21,0.624,0.9472,1.0467,0.479702,0.004886,0.976513,
94,8.7724,29,0,71,223,167,211,0.268,0.42,0.9467,1.0465,0.393366,-0.005025,0.823688,
95,8.6309,25,0,79,200,194,199,0.366,0.37,0.9463,1.0466,0.406744,-0.000152,0.840652,
96,9.5358,24,0,95,182,189,206,0.156,0.565,0.9463,1.0465,0.388461,-0.004356,0.812494,
97,8.6264,32,0,86,205,194,187,0.462,0.213,0.9468,1.0467,0.430213,0.003197,0.880868,
98,8.4852,44,0,90,226,180,176,0.309,0.244,0.9465,1.0466,0.342597,0.001732,0.708646,
99,8.6745,30,0,82,212,182,196,0.321,0.362,0.9465,1.0468,0.394856,-0.002864,0.822226,
100,8.8226,31,0,65,217,200,190,0.293,0.379,0.9467,1.0466,0.344488,-0.001244,0.718254,9.9876
101,9.5722,46,0,80,208,183,201,0.49,0.06,0.9461,1.0466,0.365922,-0.001444,0.76153,
102,8.4398,22,0,92,186,213,181,0.547,0.241,0.9469,1.0466,0.433197,-0.006015,0.905096,
103,8.5704,32,0,85,201,190,196,0.192,0.459,0.9466,1.047,0.417953,-0.002194,0.866995,
104,8.7056,41,0,87,208,186,191,0.391,0.203,0.9463,1.0468,0.369543,0.000975,0.763786,
105,8.6503,17,0,79,185,214,194,0.299,0.508,0.9466,1.0465,0.388446,-0.001181,0.805797,
106,8.7363,23,0,74,209,192,197,0.252,0.488,0.9464,1.0466,0.426793,-0.000175,0.880474,
107,9.5872,32,0,66,211,186,209,0.039,0.599,0.9459,1.0466,0.396815,-0.000102,0.820381,
108,8.4992,31,0,84,181,200,207,0.253,0.413,0.9459,1.0466,0.369465,-0.000138,0.765731,
109,8.7794,21,0,69,200,186,217,0.454,0.332,0.9459,1.0457,0.39096,0.002508,0.803335,
110,9.741,33,0,63,241,176,192,0.117,0.516,0.9465,1.0466,0.397896,-0.001308,0.824931,9.9943
111,8.7859,30,0,72,210,185,205,0.377,0.311,0.9463,1.0466,0.412974,-0.000791,0.853981,
112,8.8682,20,0,75,203,177,217,0.277,0.5,0.9465,1.0464,0.417077,-0.001524,0.863595,
113,8.657,28,0,80,216,160,216,0.275,0.425,0.9467,1.0468,0.414588,0.005549,0.844479,
114,9.7341,34,0,80,192,204,196,0.571,0.108,0.9462,1.0465,0.359089,-0.007332,0.759151,
115,8.6795,25,0,76,224,176,196,0.377,0.359,0.946,1.0466,0.40666,-0.003957,0.847468,
116,9.6802,28,0,62,204,186,220,0.71,0.031,0.9465,1.0465,0.403981,0.003074,0.828003,
117,8.8938,29,0,59,190,187,236,0.482,0.233,0.9455,1.0465,0.440918,-0.005031,0.918101,
118,9.3455,22,0,60,194,189,229,0.645,0.153,0.9465,1.0468,0.403351,-0.001077,0.835016,
119,8.6644,23,0,78,201,178,215,0.282,0.464,0.9456,1.0465,0.431005,0.00015,0.887873,
120,8.9901,18,0,58,186,192,236,0.405,0.402,0.9466,1.0465,0.407842,-0.00291,0.847621,10.0
121,8.5541,18,0,87,203,166,216,0.344,0.46,0.9468,1.0469,0.391036,-0.007736,0.823656,
122,8.9299,19,0,59,203,205,205,0.438,0.365,0.9458,1.0458,0.39963,-0.000159,0.825643,
123,8.8313,29,0,66,214,168,224,0.518,0.199,0.9458,1.0466,0.37477,-0.000246,0.776127,
124,8.9436,17,0,62,215,199,196,0.301,0.506,0.9464,1.0462,0.436897,0.00635,0.887141,
125,8.9422,17,0,63,197,186,226,0.205,0.596,0.9468,1.0465,0.385314,-0.00533,0.807308,
126,8.9999,18,0,60,198,183,231,0.442,0.371,0.9463,1.0466,0.411573,-0.001177,0.851467,
127,9.0261,24,0,54,201,198,219,0.509,0.256,0.947,1.0469,0.420545,0.005988,0.855122,
128,8.8713,23,0,64,212,177,219,0.28,0.469,0.9461,1.0464,0.384786,-0.000483,0.796525,
129,8.8402,14,0,68,206,187,211,0.391,0.455,0.946,1.0462,0.376335,-0.004768,0.78813,
130,9.043,12,0,56,207,186,223,0.374,0.489,0.9465,1.0466,0.43383,-0.001348,0.896232,10.0
131,9.0392,24,0,56,216,190,210,0.287,0.451,0.9462,1.0462,0.381363,0.00424,0.780025,
132,9.7389,25,0,44,186,187,255,0.649,0.126,0.9465,1.0467,0.392026,-0.002162,0.814114,
133,8.9992,30,0,56,184,205,227,0.418,0.279,0.9458,1.0465,0.389217,-0.003589,0.811423,
134,9.1868,19,0,49,205,176,242,0.189,0.584,0.947,1.0468,0.40007,-0.003081,0.832069,
135,9.6961,38,0,49,197,178,248,0.572,0.068,0.9459,1.0466,0.418168,0.001186,0.859721,
136,9.3591,42,0,51,228,172,221,0.418,0.171,0.9461,1.0465,0.397733,0.005727,0.8098,
137,8.9524,18,0,58,218,181,215,0.344,0.457,0.947,1.0465,0.43092,-0.002344,0.892144,
138,8.9163,26,0,60,219,180,213,0.31,0.411,0.9471,1.0469,0.422753,0.00217,0.866858,
139,9.1266,18,0,52,236,162,222,0.349,0.455,0.9469,1.0465,0.425546,-0.003018,0.882686,
140,9.7278,32,0,61,205,183,223,0.07,0.566,0.9463,1.0465,0.422955,-0.008107,0.887798,10.0
141,9.7894,21,0,52,208,176,236,0.066,0.674,0.9463,1.0465,0.434878,-0.004972,0.905348,
142,9.2392,22,0,62,208,177,225,0.157,0.585,0.9458,1.0466,0.401853,-0.003506,0.836393,
143,8.9439,25,0,56,210,172,234,0.359,0.38,0.9468,1.0464,0.472887,0.006687,0.958052,
144,9.045,35,0,49,197,196,230,0.385,0.261,0.946,1.0463,0.357298,-0.007777,0.755811,
145,9.0657,28,0,51,220,167,234,0.437,0.28,0.9456,1.0463,0.447149,0.003466,0.912932,
