训练轮次,平均奖励,电压越限次数,PSH约束违反,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
203,9.2996,22,0,33,210,190,239,0.297,0.461,0.9462,1.0466,0.443125,0.007569,0.89604,
204,9.2085,35,0,33,227,204,208,0.225,0.399,0.9465,1.0466,0.394837,-0.003453,0.821587,
205,9.4998,18,0,45,203,176,248,0.154,0.623,0.9468,1.0465,0.427664,5.2e-05,0.880145,
206,9.4523,30,0,34,198,179,261,0.556,0.154,0.9465,1.0468,0.408432,-0.004242,0.850225,
207,9.7502,23,0,35,204,188,245,0.05,0.669,0.9461,1.0465,0.426222,-0.001101,0.879511,
208,9.3945,23,0,31,200,203,238,0.506,0.265,0.947,1.0466,0.437295,-0.00317,0.905768,
209,9.4912,17,0,25,218,179,250,0.4,0.418,0.9475,1.0471,0.418598,-0.008392,0.878752,
210,9.316,23,0,36,195,226,215,0.48,0.279,0.947,1.0467,0.418598,-0.008392,0.878752,10.0
211,9.3233,17,0,36,205,203,228,0.407,0.412,0.9458,1.0462,0.450342,-0.002037,0.9295,
212,9.1382,27,0,42,189,192,249,0.438,0.29,0.9463,1.0466,0.442263,0.005517,0.898297,
213,9.7632,21,0,39,183,200,250,0.115,0.631,0.9457,1.0465,0.462426,0.002833,0.943995,
214,9.3429,23,0,33,203,205,231,0.573,0.208,0.9461,1.0461,0.448715,0.001199,0.91982,
215,9.2672,25,0,35,220,192,225,0.219,0.5,0.9466,1.0467,0.448715,0.001199,0.91982,
216,9.3423,23,0,31,205,214,222,0.353,0.399,0.9463,1.0465,0.456764,-0.001339,0.940996,
217,9.2492,30,0,34,189,226,223,0.372,0.318,0.9467,1.0466,0.401295,-0.004519,0.836396,
218,9.3172,25,0,31,211,203,227,0.226,0.493,0.9459,1.0466,0.402327,-0.006932,0.843233,
219,9.1307,33,0,43,208,204,217,0.461,0.214,0.9458,1.0465,0.401007,-0.002197,0.831146,
220,9.3785,31,0,28,184,210,250,0.299,0.376,0.9455,1.0464,0.412926,-0.001626,0.853799,10.0
221,9.4542,21,0,23,211,180,258,0.255,0.509,0.9459,1.0466,0.431126,-0.002111,0.891088,
222,9.391,23,0,27,208,175,262,0.239,0.501,0.9464,1.0466,0.415812,-0.00214,0.86056,
223,9.7373,27,0,27,212,182,251,0.105,0.582,0.947,1.0466,0.432843,-0.002348,0.895022,
224,9.6739,28,0,28,193,204,247,0.149,0.534,0.9463,1.0466,0.425841,0.002061,0.872164,
225,9.4128,18,0,29,191,184,268,0.529,0.298,0.9469,1.0465,0.44048,-0.004267,0.913966,
226,9.5042,16,0,22,169,222,259,0.288,0.525,0.9466,1.0463,0.445996,-0.002376,0.921247,
227,9.4313,19,0,27,199,189,257,0.233,0.545,0.9466,1.0471,0.453721,0.004517,0.922944,
228,9.2771,22,0,33,186,201,252,0.262,0.489,0.9471,1.0467,0.406391,-0.002898,0.843079,
229,9.452,28,0,24,197,207,244,0.413,0.305,0.9459,1.0463,0.443378,0.006851,0.897589,
230,9.4313,16,0,25,210,188,249,0.225,0.581,0.9461,1.0465,0.442579,-0.001815,0.913231,10.0
231,9.4738,41,0,31,208,198,235,0.424,0.172,0.9457,1.0465,0.392842,-0.00543,0.821135,
232,9.5157,23,0,24,180,212,256,0.401,0.359,0.9468,1.0466,0.412537,-0.008026,0.865594,
233,9.3393,13,0,36,197,197,242,0.417,0.442,0.9463,1.0464,0.471441,0.005983,0.955314,
234,9.4795,23,0,23,216,211,222,0.451,0.313,0.9461,1.0464,0.461687,0.004835,0.93813,
235,9.4837,13,0,24,193,216,239,0.395,0.462,0.9463,1.0465,0.45554,-0.001249,0.937953,
236,9.7305,29,0,35,213,200,224,0.128,0.542,0.9454,1.0465,0.409137,-0.000515,0.843828,
237,9.7881,26,0,33,221,186,232,0.117,0.583,0.946,1.0465,0.409486,-0.007995,0.859536,
238,9.4417,25,0,23,212,180,257,0.402,0.34,0.946,1.0465,0.436314,-0.002108,0.901356,
239,9.7652,24,0,41,196,184,251,0.727,0.061,0.9465,1.0466,0.448346,0.002404,0.916351,
240,9.4429,20,0,26,195,178,273,0.566,0.244,0.9463,1.0466,0.451011,0.000608,0.92524,10.0
241,9.4264,18,0,26,211,196,239,0.343,0.459,0.9459,1.0465,0.465996,7.3e-05,0.956262,
242,9.6364,35,0,27,196,229,220,0.118,0.496,0.9462,1.0465,0.466749,0.012836,0.932389,
243,9.4219,20,0,25,192,183,272,0.468,0.329,0.9466,1.0466,0.450272,-0.001506,0.927978,
244,9.4803,30,0,31,206,211,224,0.176,0.491,0.9467,1.0467,0.450272,-0.001506,0.927978,
245,9.6508,23,0,24,223,203,222,0.144,0.588,0.946,1.0466,0.423546,-0.006448,0.884512,
246,9.6577,30,0,38,192,222,220,0.648,0.076,0.9466,1.0467,0.415395,-0.003557,0.86251,
247,9.3426,36,0,24,222,211,215,0.387,0.25,0.9466,1.0468,0.405505,-0.003924,0.843506,
248,9.7201,28,0,35,198,208,231,0.091,0.583,0.9463,1.0468,0.416277,-0.005901,0.869021,
249,9.3538,31,0,26,213,215,218,0.353,0.324,0.9459,1.0465,0.41886,-0.005714,0.873776,
250,9.6051,27,0,27,182,216,247,0.148,0.545,0.9463,1.0466,0.461328,0.002002,0.943282,10.0
251,9.6155,23,0,28,193,203,248,0.638,0.149,0.9455,1.046,0.46307,-0.003147,0.956923,
252,9.4455,26,0,22,206,197,247,0.354,0.372,0.9461,1.0464,0.450515,-0.000229,0.926015,
253,9.2324,38,0,34,204,210,224,0.376,0.238,0.9467,1.0471,0.401133,-0.002301,0.831526,
254,9.3392,31,0,27,197,186,262,0.257,0.411,0.9461,1.0465,0.428609,-0.000107,0.882007,
255,9.4912,30,0,29,203,200,240,0.556,0.157,0.9464,1.0467,0.452689,0.011042,0.907852,
256,9.191,34,0,33,215,195,229,0.414,0.243,0.9465,1.0465,0.421309,-0.002342,0.871895,
257,9.3128,28,0,33,192,198,249,0.535,0.193,0.9461,1.0467,0.42617,0.000193,0.876505,
258,9.3138,24,0,30,210,209,223,0.251,0.479,0.9465,1.0468,0.456325,0.005517,0.926139,
259,9.4314,25,0,22,190,199,261,0.325,0.405,0.946,1.0465,0.439217,0.00185,0.899249,
260,9.4281,23,0,29,222,192,229,0.329,0.424,0.9466,1.0465,0.429095,-0.001849,0.886443,10.0
261,9.5176,21,0,24,230,181,237,0.355,0.419,0.9467,1.0466,0.43835,0.000203,0.900778,
262,9.3523,22,0,29,221,201,221,0.343,0.421,0.9468,1.0465,0.463015,0.005809,0.938838,
263,9.769,16,0,26,206,192,248,0.122,0.673,0.9466,1.0466,0.479442,0.006031,0.971217,
